"","Plate4_036R_0_M_NS1_week5_S41_L001","Plate4_036R_L_M_NS1_week5_S42_L001","Plate4_036R_RL_M_NS1_week5_S43_L001","Plate4_036R_RR_M_NS1_week5_S44_L001","Plate4_1030R_RR_M_NS1_week5_S45_L001","Plate4_1121R_L_M_NS1_week5_S46_L001","Plate4_1121R_RL_M_NS1_week5_S48_L001","Plate4_1121R_RR_M_NS1_week5_S49_L001","Plate4_1121R_R_M_NS1_week5_S47_L001","Plate4_1151R_0_M_NS1_week5_S50_L001","Plate4_1193R_0_F_NS1_week5_S51_L001","Plate4_1193R_L_F_NS1_week5_S52_L001","Plate4_2529R_0_F_NS1_week5_S53_L001","Plate4_2529R_L_F_NS1_week5_S54_L001","Plate4_2529R_RL_F_NS1_week5_S55_L001","Plate4_3861R_0_M_NS1_week5_S56_L001","Plate4_3861R_L_M_NS1_week5_S57_L001","Plate4_3861R_R_M_NS1_week5_S58_L001","Plate4_3971R_0_F_NS1_week5_S59_L001","Plate4_3975R_0_F_NS1_week5_S60_L001","Plate4_3975R_L_F_NS1_week5_S61_L001","Plate5_2808_NS1_0_Female_week5_S37_L001","Plate5_2808_NS1_L_Female_week5_S38_L001","Plate5_2808_NS1_RR_Female_week5_S40_L001","Plate5_2808_NS1_R_Female_week5_S39_L001","Plate5_2824_NS1_0_Male_week5_S43_L001","Plate5_2824_NS1_L_Male_week5_S44_L001","Plate5_2824_NS1_R_Male_week5_S45_L001","Plate5_2864_NS1_R_Male_week5_S46_L001","Plate5_2893_NS1_0_Male_week5_S47_L001","Plate5_2893_NS1_R_Male_week5_S48_L001","Plate5_2999_NS1_0_Female_week5_S41_L001","Plate5_2999_NS1_R_Female_week5_S42_L001","Plate2_036R_R_M_NS1_week6_S19_L001","Plate2_1030R_L_M_NS1_week6_S23_L001","Plate2_1121R_0_M_NS1_week6_S27_L001","Plate2_1151R_R_M_NS1_week6_S31_L001","Plate2_1193R_R_F_NS1_week6_S2_L001","Plate2_2529R_R_F_NS1_week6_S6_L001","Plate2_3971R_L_F_NS1_week6_S10_L001","Plate2_3975R_R_F_NS1_week6_S15_L001","Plate2_036R_R_M_NS1_week7_S20_L001","Plate2_1030R_L_M_NS1_week7_S24_L001","Plate2_1121R_0_M_NS1_week7_S28_L001","Plate2_1151R_R_M_NS1_week7_S32_L001","Plate2_1193R_R_F_NS1_week7_S3_L001","Plate2_2529R_R_F_NS1_week7_S7_L001","Plate2_3971R_L_F_NS1_week7_S11_L001","Plate2_3975R_R_F_NS1_week7_S16_L001","Plate2_036R_R_M_NS1_week9_S21_L001","Plate2_1030R_L_M_NS1_week9_S25_L001","Plate2_1121R_0_M_NS1_week9_S29_L001","Plate2_1151R_R_M_NS1_week9_S33_L001","Plate2_1193R_R_F_NS1_week9_S4_L001","Plate2_2529R_R_F_NS1_week9_S8_L001","Plate2_3861R_R_M_NS1_week9_S34_L001","Plate2_3971R_L_F_NS1_week9_S12_L001","Plate2_3975R_0_F_NS1_week9_S13_L001","Plate2_3975R_R_F_NS1_week9_S17_L001","Plate4_036R_0_M_NS1_S62_L001","Plate4_036R_L_M_NS1_S63_L001","Plate4_036R_RL_M_NS1_S64_L001","Plate4_036R_RR_M_NS1_S65_L001","Plate4_1030R_RR_M_NS1_week9_S66_L001","Plate4_1121R_L_M_NS1_week9_S67_L001","Plate4_1121R_RL_M_NS1_week9_S69_L001","Plate4_1121R_RR_M_NS1_week9_S70_L001","Plate4_1121R_R_M_NS1_week9_S68_L001","Plate4_1151R_0_M_NS1_week9_S71_L001","Plate4_1193R_0_F_NS1_week9_S72_L001","Plate4_1193R_L_F_NS1_week9_S73_L001","Plate4_2529R_0_F_NS1_week9_S74_L001","Plate4_2529R_L_F_NS1_week9_S75_L001","Plate4_2529R_RL_F_NS1_week9_S76_L001","Plate4_3861R_0_M_NS1_week9_S77_L001","Plate4_3861R_L_M_NS1_week9_S78_L001","Plate4_3971R_0_F_NS1_week9_S79_L001","Plate4_3971R_RL_F_NS1_week9_S81_L001","Plate4_3971R_R_F_NS1_week9_S80_L001","Plate4_3975R_L_F_NS1_week9_S82_L001","Plate4_3975R_RL_F_NS1_week9_S83_L001","Plate5_2808_NS1_0_Female_week9_S49_L001","Plate5_2808_NS1_L_Female_week9_S50_L001","Plate5_2808_NS1_RR_Female_week9_S52_L001","Plate5_2808_NS1_R_Female_week9_S51_L001","Plate5_2824_NS1_0_Male_week9_S55_L001","Plate5_2824_NS1_L_Male_week9_S56_L001","Plate5_2824_NS1_R_Male_week9_S57_L001","Plate5_2864_NS1_R_Male_week9_S58_L001","Plate5_2893_NS1_0_Male_week9_S59_L001","Plate5_2893_NS1_R_Male_week9_S60_L001","Plate5_2999_NS1_0_Female_week9_S53_L001","Plate5_2999_NS1_R_Female_week9_S54_L001","Plate1_1030R_0_M_NS1_week10_S77_L001","Plate1_1030R_R_M_NS1_week10_S78_L001","Plate1_2472R_0_F_NS1_week10_S73_L001","Plate1_2472R_R_F_NS1_week10_S74_L001","Plate1_3874R_0_F_NS1_week10_S75_L001","Plate1_3874R_L_F_NS1_week10_S76_L001","Plate1_3974R_0_M_NS1_week10_S79_L001","Plate1_3974R_L_M_NS1_week10_S80_L001"
"Akkermansia_muciniphila",6421,7470,7623,12896,12858,14900,17234,11546,12877,5629,9863,8521,11340,9476,8271,7912,6606,11892,12639,8206,10126,42040,25898,9251,22075,13541,17742,13383,13222,17227,12426,13225,40528,13666,15043,30754,18604,15224,11952,19970,25406,22561,36728,21477,23096,23456,24953,17542,26418,17320,24883,18919,18826,10092,20882,13159,13004,16194,26016,5950,9102,8171,9941,10401,17006,18947,17721,12534,18338,8808,6660,15854,13604,15338,8015,7634,17299,13135,6305,14056,10439,20360,17240,26165,22286,26751,17401,19633,21032,28929,33552,20785,31713,21447,17058,26264,22140,21023,16468,22082,21783
"Phocaeicola_vulgatus",7812,8103,9758,9111,8868,7698,6311,4276,5133,5488,7092,7095,6401,8978,8214,6643,5518,6787,6957,7006,7472,19992,7829,3337,13451,6733,7255,7858,6384,4956,6679,4688,9685,10372,15083,5289,10353,6745,8377,9913,8956,10342,8593,10180,11661,8198,6505,9488,15187,10346,8252,10504,11003,14636,7927,15537,11048,18778,11802,9200,6559,6611,10192,8935,8838,10792,9733,9545,8819,9405,9685,8309,8328,8175,8498,10512,7629,7131,7162,9198,7374,10972,7553,7516,8073,11366,7724,8850,12236,10058,10971,7703,12525,10225,9525,9288,9187,10754,9626,9829,11990
"Phocaeicola_dorei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,18,15,0,10,15,13,0,13,29,20,13,9,25,26,18,15,16,56,6,11,35,32,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_uniformis",23761,24172,22556,33814,36342,26148,23270,17856,19452,30719,25329,29226,31972,23274,27210,24682,13111,17718,17270,12001,14950,62996,27612,12625,30761,29062,40146,37754,22416,26327,28900,23750,48594,24662,32846,19393,24972,25692,30796,22670,20035,13562,13203,9223,18614,18751,20338,19109,6655,16395,16670,17028,16418,5327,11280,2433,21929,19971,22325,16537,15210,9849,18085,9373,12214,20029,16039,18162,13583,17810,11409,11934,11771,12220,12544,9399,16700,13030,16683,13239,15383,22426,16932,18662,16542,29219,10868,15716,15066,21019,24256,11560,22538,16154,16632,20812,17637,15129,14421,18127,16921
"Akkermansia_massiliensis",0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",1953,1975,1468,3111,1780,1850,2354,1719,2199,1291,2894,2280,2038,1146,2849,1942,1432,1766,1742,3327,5933,3284,2705,699,2238,2793,3743,2584,1767,1307,1147,2029,5845,958,1380,1214,2138,1008,1738,1176,1144,1068,1371,578,1219,759,1195,841,662,1308,523,645,807,362,1236,470,562,396,849,286,292,453,459,280,625,706,729,352,1208,283,336,937,761,793,390,252,593,511,209,377,429,1277,2008,1006,906,1565,528,1272,809,1369,2083,1244,1525,1110,929,1492,914,1550,1799,776,1102
"Eisenbergiella_tayi",697,2073,1549,2029,1070,1919,1766,1326,1368,2331,1651,1103,1782,1270,2905,2146,2452,2664,3038,1447,799,7728,2587,2243,2320,2268,4155,3496,3118,2798,3558,2462,5423,4203,502,1071,4416,2036,1416,3687,2778,1248,1097,1388,3834,251,1748,1773,613,3037,3629,2935,3398,5232,3310,6270,5643,3448,4485,2978,1985,1937,2829,2580,1547,1966,1637,2409,1881,2426,3330,1423,1833,1994,2336,1789,2722,4115,3802,3453,2314,5408,4781,4423,3916,7298,4593,4634,4173,4292,6593,719,1987,2153,2359,1868,1733,2021,2459,2202,2573
"Hungatella_effluvii",0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",1164,1075,1279,1480,892,989,1353,782,975,565,529,582,621,626,533,775,536,963,645,915,728,3339,2155,614,1902,1104,1833,1542,966,924,1217,1169,1714,2602,2290,1480,1842,939,1246,2469,2059,2554,1733,1746,3355,1820,905,2971,3486,2194,2267,2288,2213,4185,713,2128,2532,5857,2628,2049,1854,1612,1631,2243,1187,1524,2172,865,1854,1476,2606,2419,1525,665,1769,2353,1741,1729,1361,1762,1841,2202,1220,1721,2022,3282,1934,3014,3714,1887,4407,2836,2925,2026,2070,1727,1799,2160,1797,2173,2052
"Parabacteroides_merdae",2278,2464,2171,2282,1430,1480,1781,813,1076,1247,1314,1508,1252,846,1329,1909,1620,1685,1655,947,942,6023,2640,1231,3266,2238,1863,2404,2288,2491,2717,1480,3340,5356,4661,2335,4077,1935,1772,3428,2932,3243,2638,2847,3560,3414,2424,3294,4733,3917,3800,3073,4061,5406,2218,4328,4006,1824,4487,1535,1523,2698,4603,3311,2729,3325,3454,3503,3084,3487,1597,1975,2991,2172,2780,3943,2653,3507,2693,3571,2898,3629,3214,3103,2947,5378,2922,2300,5058,4272,5416,2530,3853,3870,3007,3117,3383,3746,3763,2914,1630
"Parabacteroides_distasonis",3230,3402,3348,2610,2551,2729,2146,1434,1773,2057,2245,2388,2255,2542,3426,2709,1562,1889,2154,2382,2705,6059,3176,1065,3545,2507,2319,2238,1663,1367,2163,1430,4114,4042,5028,2372,4898,2046,1837,2583,2216,2244,2045,3789,3661,2057,1840,2976,5008,2992,2546,2926,4425,8147,3023,7719,3814,6794,4646,3328,2609,2022,4468,4738,3245,3461,3879,3114,3351,2757,3611,3027,3656,3090,2962,3630,3014,2250,3186,3378,2483,4714,3331,2046,2264,5019,2199,2030,6355,3239,4544,1999,2824,3624,2524,2572,3787,3271,2905,3168,4309
"Enterocloster_bolteae/clostridioformis",2910,3101,3369,2549,2280,2148,1854,945,1647,2648,3421,2536,2304,2057,2327,3756,3213,2990,1850,2481,2548,5781,3314,1873,4126,2629,3045,4457,2814,2317,2714,1911,4948,4442,8314,3419,3517,2203,4464,2990,2068,3944,2151,4158,2084,2943,2690,4227,2654,3180,2950,3116,4586,2374,1943,4205,4383,3293,4024,3272,1972,1393,2540,3243,1705,2214,3467,3012,2245,4501,3428,2011,2207,1356,1280,2210,2641,1579,4990,2486,3937,5678,4070,3895,3398,4241,3332,3902,3850,3992,5619,3216,4296,2074,1893,2244,2157,2095,3242,2495,2058
"Phocaeicola_NA",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_thetaiotaomicron",2872,2706,3181,3796,2882,2865,3266,1643,1886,1372,2020,1745,2288,2203,2049,2175,1775,2306,2183,2769,3031,6726,3656,1497,5958,2732,3315,2632,2618,2923,2664,1893,6176,5800,3889,2009,3242,2157,2329,3329,3814,5005,3433,4578,6010,2616,2251,3421,8446,5164,4537,4004,5209,9664,4994,8396,5312,9081,7288,4969,4102,3857,6077,5389,4433,5824,5311,4322,4732,3671,4819,5437,4366,4536,4517,3991,4485,3261,2527,5747,3386,6384,6026,5239,4973,8765,5360,7305,10323,7318,8431,4355,6991,5782,4844,5347,5181,5727,4413,4769,6839
"Parabacteroides_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,62,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",82,93,122,96,33,38,41,16,40,0,20,24,0,19,18,31,36,36,101,39,36,184,146,41,69,109,50,151,69,201,76,84,95,359,96,75,86,77,47,253,221,493,182,204,125,247,109,371,661,464,269,516,250,292,406,682,427,778,297,223,246,269,397,152,506,433,655,376,245,219,215,478,247,350,415,333,328,378,135,308,201,724,277,656,317,849,409,331,1195,339,707,156,1354,573,526,552,758,179,387,423,896
"Sarcina_perfringens",536,357,698,1491,362,428,336,585,400,26,608,96,48,45,130,732,243,2267,878,1000,938,3169,1841,564,4643,591,4626,7614,333,1647,1880,840,3015,579,489,383,734,80,125,941,795,296,908,922,689,1202,1057,1175,778,792,854,1002,213,174,1886,211,446,479,576,182,203,167,98,188,362,762,724,297,1942,71,52,488,277,920,60,113,339,227,33,407,228,998,317,1677,1451,1754,667,1626,1298,1126,2348,982,3007,833,279,544,619,850,176,1078,1105
"Sutterella_wadsworthensis",449,614,770,1096,512,305,368,139,238,255,120,177,554,230,211,433,119,855,771,648,921,714,678,209,1247,617,663,526,476,563,641,411,812,471,380,481,525,320,254,542,436,723,424,477,1391,455,262,390,781,477,545,658,754,1082,784,549,340,426,482,239,519,415,566,641,375,320,659,181,772,139,384,441,519,516,264,739,416,425,109,601,218,369,246,223,338,894,610,238,893,406,638,233,400,2013,1744,1185,1452,1849,1398,1646,2037
"Flavonifractor_plautii",665,587,666,757,652,719,591,482,515,963,889,883,673,888,1037,769,594,701,579,537,740,1977,839,349,979,609,809,908,577,493,507,455,1067,1044,1512,745,1155,868,857,996,895,540,451,783,713,835,654,835,971,787,688,715,951,1277,638,1220,883,1059,1086,792,574,528,883,637,747,793,896,888,654,721,715,468,510,511,724,694,741,846,878,985,790,1205,852,651,683,1147,505,715,900,854,1222,548,856,699,553,762,749,604,569,731,552
"Agathobacter_faecis",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_onderdonkii",0,19,27,25,31,25,56,29,20,13,24,34,49,31,22,13,22,16,31,27,34,83,119,23,78,57,52,44,66,58,33,69,143,71,48,75,65,48,29,54,53,68,54,88,108,77,49,64,107,93,56,71,62,113,51,94,71,44,47,37,66,58,41,50,69,88,74,93,49,54,67,66,54,39,80,45,58,33,19,52,48,142,80,107,68,201,78,93,82,178,147,113,195,73,40,90,86,43,55,61,106
"Bifidobacterium_longum",141,113,88,158,164,126,172,101,144,95,154,94,108,186,69,163,62,129,107,122,154,273,119,65,198,126,166,261,115,172,107,92,337,132,169,93,121,67,159,158,110,202,185,86,161,126,97,149,127,126,139,116,161,73,135,113,152,120,181,71,36,38,83,72,90,100,112,70,117,180,61,111,96,133,74,119,137,106,98,86,94,230,235,229,214,253,139,246,202,139,239,214,307,217,141,130,129,176,247,210,229
"Eggerthella_lenta",0,24,0,0,0,20,28,0,19,0,0,12,20,9,24,28,9,0,0,0,37,72,44,20,54,0,33,25,0,50,47,0,57,63,52,51,51,0,0,37,0,42,0,54,0,33,36,44,32,0,52,42,65,56,0,48,57,22,46,20,0,25,30,43,24,0,51,27,0,41,33,21,19,17,16,0,33,31,40,0,35,62,40,54,35,55,36,80,0,41,123,40,67,45,54,44,34,0,41,52,55
"Enterococcus_B_durans",773,375,470,1150,334,1535,2822,1610,2074,30,722,263,69,51,191,580,391,941,276,646,1307,932,1216,453,1196,1080,1854,680,754,1551,640,1356,4240,337,528,1157,1017,45,80,1253,258,171,711,1265,187,195,512,722,344,722,1056,657,315,233,847,958,551,590,775,290,189,197,223,539,262,325,323,180,920,158,111,245,333,445,227,389,332,194,148,321,214,1209,754,1970,1102,2389,1531,2230,895,2276,2515,440,763,1365,692,395,482,366,259,286,406
"Enterocloster_citroniae",171,126,177,148,117,189,120,82,170,212,97,112,135,199,164,121,141,133,117,231,142,378,246,99,195,138,162,140,131,106,167,106,306,660,581,460,347,257,327,279,187,651,318,453,310,359,179,421,288,415,393,476,579,703,910,1111,714,409,860,262,178,210,317,280,190,212,368,287,159,225,378,165,208,423,447,1101,209,711,243,516,320,363,302,271,190,855,456,327,356,215,391,274,374,342,448,263,0,0,396,363,568
"Collinsella_sp902362275/sp902472315",63,50,55,50,76,37,37,22,50,88,108,80,88,92,83,77,43,95,68,57,74,171,107,44,115,60,71,101,61,41,44,44,155,111,172,58,96,81,94,109,66,127,112,124,62,103,86,127,100,130,77,163,135,87,107,189,122,136,159,71,0,50,62,44,59,132,147,115,103,189,52,45,60,61,78,0,90,85,90,77,92,154,180,133,116,159,93,158,147,186,253,107,160,134,74,127,103,125,180,144,134
"Hydrogeniiclostridium_mannosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Bacteroides_NA",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Akkermansia_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_B_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Enterocloster_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterocloster_citroniae/bolteae/clostridioformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,145,112,89,65,142,122,186
